"id","currency","rate","base_currency","timestamp","created_at"
1,"USD","1.173117","EUR","2025-09-29 20:39:02.874588","2025-10-29 20:39:25.64723"
2,"GBP","0.873092","EUR","2025-09-29 20:39:02.874588","2025-10-29 20:39:25.64723"
3,"JPY","174.322044","EUR","2025-09-29 20:39:02.874588","2025-10-29 20:39:25.64723"
4,"EUR","1.000000","EUR","2025-09-29 20:39:02.874588","2025-10-29 20:39:25.64723"
5,"USD","1.173530","EUR","2025-09-30 20:39:02.874588","2025-10-29 20:39:25.64723"
6,"GBP","0.872972","EUR","2025-09-30 20:39:02.874588","2025-10-29 20:39:25.64723"
7,"JPY","173.683629","EUR","2025-09-30 20:39:02.874588","2025-10-29 20:39:25.64723"
8,"EUR","1.000000","EUR","2025-09-30 20:39:02.874588","2025-10-29 20:39:25.64723"
9,"USD","1.173351","EUR","2025-10-01 20:39:02.874588","2025-10-29 20:39:25.64723"
10,"GBP","0.870474","EUR","2025-10-01 20:39:02.874588","2025-10-29 20:39:25.64723"
11,"JPY","172.588755","EUR","2025-10-01 20:39:02.874588","2025-10-29 20:39:25.64723"
12,"EUR","1.000000","EUR","2025-10-01 20:39:02.874588","2025-10-29 20:39:25.64723"
13,"USD","1.172465","EUR","2025-10-02 20:39:02.874588","2025-10-29 20:39:25.64723"
14,"GBP","0.871973","EUR","2025-10-02 20:39:02.874588","2025-10-29 20:39:25.64723"
15,"JPY","172.536381","EUR","2025-10-02 20:39:02.874588","2025-10-29 20:39:25.64723"
16,"EUR","1.000000","EUR","2025-10-02 20:39:02.874588","2025-10-29 20:39:25.64723"
17,"USD","1.174117","EUR","2025-10-03 20:39:02.874588","2025-10-29 20:39:25.64723"
18,"GBP","0.871200","EUR","2025-10-03 20:39:02.874588","2025-10-29 20:39:25.64723"
19,"JPY","173.129423","EUR","2025-10-03 20:39:02.874588","2025-10-29 20:39:25.64723"
20,"EUR","1.000000","EUR","2025-10-03 20:39:02.874588","2025-10-29 20:39:25.64723"
21,"USD","1.174117","EUR","2025-10-04 20:39:02.874588","2025-10-29 20:39:25.64723"
22,"GBP","0.865262","EUR","2025-10-04 20:39:02.874588","2025-10-29 20:39:25.64723"
23,"JPY","173.117681","EUR","2025-10-04 20:39:02.874588","2025-10-29 20:39:25.64723"
24,"EUR","1.000000","EUR","2025-10-04 20:39:02.874588","2025-10-29 20:39:25.64723"
25,"USD","1.171173","EUR","2025-10-05 20:39:02.874588","2025-10-29 20:39:25.64723"
26,"GBP","0.871874","EUR","2025-10-05 20:39:02.874588","2025-10-29 20:39:25.64723"
27,"JPY","175.224425","EUR","2025-10-05 20:39:02.874588","2025-10-29 20:39:25.64723"
28,"EUR","1.000000","EUR","2025-10-05 20:39:02.874588","2025-10-29 20:39:25.64723"
29,"USD","1.170988","EUR","2025-10-06 20:39:02.874588","2025-10-29 20:39:25.64723"
30,"GBP","0.868416","EUR","2025-10-06 20:39:02.874588","2025-10-29 20:39:25.64723"
31,"JPY","176.045145","EUR","2025-10-06 20:39:02.874588","2025-10-29 20:39:25.64723"
32,"EUR","1.000000","EUR","2025-10-06 20:39:02.874588","2025-10-29 20:39:25.64723"
33,"USD","1.165386","EUR","2025-10-07 20:39:02.874588","2025-10-29 20:39:25.64723"
34,"GBP","0.868375","EUR","2025-10-07 20:39:02.874588","2025-10-29 20:39:25.64723"
35,"JPY","177.170111","EUR","2025-10-07 20:39:02.874588","2025-10-29 20:39:25.64723"
36,"EUR","1.000000","EUR","2025-10-07 20:39:02.874588","2025-10-29 20:39:25.64723"
37,"USD","1.163063","EUR","2025-10-08 20:39:02.874588","2025-10-29 20:39:25.64723"
38,"GBP","0.867907","EUR","2025-10-08 20:39:02.874588","2025-10-29 20:39:25.64723"
39,"JPY","177.584662","EUR","2025-10-08 20:39:02.874588","2025-10-29 20:39:25.64723"
40,"EUR","1.000000","EUR","2025-10-08 20:39:02.874588","2025-10-29 20:39:25.64723"
41,"USD","1.156618","EUR","2025-10-09 20:39:02.874588","2025-10-29 20:39:25.64723"
42,"GBP","0.869372","EUR","2025-10-09 20:39:02.874588","2025-10-29 20:39:25.64723"
43,"JPY","176.952686","EUR","2025-10-09 20:39:02.874588","2025-10-29 20:39:25.64723"
44,"EUR","1.000000","EUR","2025-10-09 20:39:02.874588","2025-10-29 20:39:25.64723"
45,"USD","1.161839","EUR","2025-10-10 20:39:02.874588","2025-10-29 20:39:25.64723"
46,"GBP","0.870129","EUR","2025-10-10 20:39:02.874588","2025-10-29 20:39:25.64723"
47,"JPY","175.675361","EUR","2025-10-10 20:39:02.874588","2025-10-29 20:39:25.64723"
48,"EUR","1.000000","EUR","2025-10-10 20:39:02.874588","2025-10-29 20:39:25.64723"
49,"USD","1.161839","EUR","2025-10-11 20:39:02.874588","2025-10-29 20:39:25.64723"
50,"GBP","0.870129","EUR","2025-10-11 20:39:02.874588","2025-10-29 20:39:25.64723"
51,"JPY","175.664365","EUR","2025-10-11 20:39:02.874588","2025-10-29 20:39:25.64723"
52,"EUR","1.000000","EUR","2025-10-11 20:39:02.874588","2025-10-29 20:39:25.64723"
53,"USD","1.160200","EUR","2025-10-12 20:39:02.874588","2025-10-29 20:39:25.64723"
54,"GBP","0.870011","EUR","2025-10-12 20:39:02.874588","2025-10-29 20:39:25.64723"
55,"JPY","176.398581","EUR","2025-10-12 20:39:02.874588","2025-10-29 20:39:25.64723"
56,"EUR","1.000000","EUR","2025-10-12 20:39:02.874588","2025-10-29 20:39:25.64723"
57,"USD","1.156630","EUR","2025-10-13 20:39:02.874588","2025-10-29 20:39:25.64723"
58,"GBP","0.867548","EUR","2025-10-13 20:39:02.874588","2025-10-29 20:39:25.64723"
59,"JPY","176.317910","EUR","2025-10-13 20:39:02.874588","2025-10-29 20:39:25.64723"
60,"EUR","1.000000","EUR","2025-10-13 20:39:02.874588","2025-10-29 20:39:25.64723"
61,"USD","1.160187","EUR","2025-10-14 20:39:02.874588","2025-10-29 20:39:25.64723"
62,"GBP","0.870964","EUR","2025-10-14 20:39:02.874588","2025-10-29 20:39:25.64723"
63,"JPY","176.045010","EUR","2025-10-14 20:39:02.874588","2025-10-29 20:39:25.64723"
64,"EUR","1.000000","EUR","2025-10-14 20:39:02.874588","2025-10-29 20:39:25.64723"
65,"USD","1.164605","EUR","2025-10-15 20:39:02.874588","2025-10-29 20:39:25.64723"
66,"GBP","0.868854","EUR","2025-10-15 20:39:02.874588","2025-10-29 20:39:25.64723"
67,"JPY","175.827971","EUR","2025-10-15 20:39:02.874588","2025-10-29 20:39:25.64723"
68,"EUR","1.000000","EUR","2025-10-15 20:39:02.874588","2025-10-29 20:39:25.64723"
69,"USD","1.169932","EUR","2025-10-16 20:39:02.874588","2025-10-29 20:39:25.64723"
70,"GBP","0.870155","EUR","2025-10-16 20:39:02.874588","2025-10-29 20:39:25.64723"
71,"JPY","175.640830","EUR","2025-10-16 20:39:02.874588","2025-10-29 20:39:25.64723"
72,"EUR","1.000000","EUR","2025-10-16 20:39:02.874588","2025-10-29 20:39:25.64723"
73,"USD","1.166039","EUR","2025-10-17 20:39:02.874588","2025-10-29 20:39:25.64723"
74,"GBP","0.868429","EUR","2025-10-17 20:39:02.874588","2025-10-29 20:39:25.64723"
75,"JPY","175.623040","EUR","2025-10-17 20:39:02.874588","2025-10-29 20:39:25.64723"
76,"EUR","1.000000","EUR","2025-10-17 20:39:02.874588","2025-10-29 20:39:25.64723"
77,"USD","1.166039","EUR","2025-10-18 20:39:02.874588","2025-10-29 20:39:25.64723"
78,"GBP","0.871903","EUR","2025-10-18 20:39:02.874588","2025-10-29 20:39:25.64723"
79,"JPY","175.611379","EUR","2025-10-18 20:39:02.874588","2025-10-29 20:39:25.64723"
80,"EUR","1.000000","EUR","2025-10-18 20:39:02.874588","2025-10-29 20:39:25.64723"
81,"USD","1.165705","EUR","2025-10-19 20:39:02.874588","2025-10-29 20:39:25.64723"
82,"GBP","0.868293","EUR","2025-10-19 20:39:02.874588","2025-10-29 20:39:25.64723"
83,"JPY","175.901436","EUR","2025-10-19 20:39:02.874588","2025-10-29 20:39:25.64723"
84,"EUR","1.000000","EUR","2025-10-19 20:39:02.874588","2025-10-29 20:39:25.64723"
85,"USD","1.164402","EUR","2025-10-20 20:39:02.874588","2025-10-29 20:39:25.64723"
86,"GBP","0.868661","EUR","2025-10-20 20:39:02.874588","2025-10-29 20:39:25.64723"
87,"JPY","175.565635","EUR","2025-10-20 20:39:02.874588","2025-10-29 20:39:25.64723"
88,"EUR","1.000000","EUR","2025-10-20 20:39:02.874588","2025-10-29 20:39:25.64723"
89,"USD","1.159998","EUR","2025-10-21 20:39:02.874588","2025-10-29 20:39:25.64723"
90,"GBP","0.867969","EUR","2025-10-21 20:39:02.874588","2025-10-29 20:39:25.64723"
91,"JPY","176.200312","EUR","2025-10-21 20:39:02.874588","2025-10-29 20:39:25.64723"
92,"EUR","1.000000","EUR","2025-10-21 20:39:02.874588","2025-10-29 20:39:25.64723"
93,"USD","1.160807","EUR","2025-10-22 20:39:02.874588","2025-10-29 20:39:25.64723"
94,"GBP","0.869469","EUR","2025-10-22 20:39:02.874588","2025-10-29 20:39:25.64723"
95,"JPY","176.389207","EUR","2025-10-22 20:39:02.874588","2025-10-29 20:39:25.64723"
96,"EUR","1.000000","EUR","2025-10-22 20:39:02.874588","2025-10-29 20:39:25.64723"
97,"USD","1.161750","EUR","2025-10-23 20:39:02.874588","2025-10-29 20:39:25.64723"
98,"GBP","0.871743","EUR","2025-10-23 20:39:02.874588","2025-10-29 20:39:25.64723"
99,"JPY","177.300554","EUR","2025-10-23 20:39:02.874588","2025-10-29 20:39:25.64723"
100,"EUR","1.000000","EUR","2025-10-23 20:39:02.874588","2025-10-29 20:39:25.64723"
101,"USD","1.162650","EUR","2025-10-24 20:39:02.874588","2025-10-29 20:39:25.64723"
102,"GBP","0.873779","EUR","2025-10-24 20:39:02.874588","2025-10-29 20:39:25.64723"
103,"JPY","177.659936","EUR","2025-10-24 20:39:02.874588","2025-10-29 20:39:25.64723"
104,"EUR","1.000000","EUR","2025-10-24 20:39:02.874588","2025-10-29 20:39:25.64723"
105,"USD","1.162650","EUR","2025-10-25 20:39:02.874588","2025-10-29 20:39:25.64723"
106,"GBP","0.873779","EUR","2025-10-25 20:39:02.874588","2025-10-29 20:39:25.64723"
107,"JPY","177.659936","EUR","2025-10-25 20:39:02.874588","2025-10-29 20:39:25.64723"
108,"EUR","1.000000","EUR","2025-10-25 20:39:02.874588","2025-10-29 20:39:25.64723"
109,"USD","1.163020","EUR","2025-10-26 20:39:02.874588","2025-10-29 20:39:25.64723"
110,"GBP","0.873172","EUR","2025-10-26 20:39:02.874588","2025-10-29 20:39:25.64723"
111,"JPY","178.043164","EUR","2025-10-26 20:39:02.874588","2025-10-29 20:39:25.64723"
112,"EUR","1.000000","EUR","2025-10-26 20:39:02.874588","2025-10-29 20:39:25.64723"
113,"USD","1.165060","EUR","2025-10-27 20:39:02.874588","2025-10-29 20:39:25.64723"
114,"GBP","0.873340","EUR","2025-10-27 20:39:02.874588","2025-10-29 20:39:25.64723"
115,"JPY","177.906988","EUR","2025-10-27 20:39:02.874588","2025-10-29 20:39:25.64723"
116,"EUR","1.000000","EUR","2025-10-27 20:39:02.874588","2025-10-29 20:39:25.64723"
117,"USD","1.165543","EUR","2025-10-28 20:39:02.874588","2025-10-29 20:39:25.64723"
118,"GBP","0.877957","EUR","2025-10-28 20:39:02.874588","2025-10-29 20:39:25.64723"
119,"JPY","177.041912","EUR","2025-10-28 20:39:02.874588","2025-10-29 20:39:25.64723"
120,"EUR","1.000000","EUR","2025-10-28 20:39:02.874588","2025-10-29 20:39:25.64723"
121,"USD","1.164972","EUR","2025-10-29 20:39:02.874588","2025-10-29 20:39:25.64723"
122,"GBP","0.880585","EUR","2025-10-29 20:39:02.874588","2025-10-29 20:39:25.64723"
123,"JPY","177.051310","EUR","2025-10-29 20:39:02.874588","2025-10-29 20:39:25.64723"
124,"EUR","1.000000","EUR","2025-10-29 20:39:02.874588","2025-10-29 20:39:25.64723"
125,"USD","1.173117","EUR","2025-09-29 20:39:04.185919","2025-10-29 20:39:29.82716"
126,"GBP","0.873092","EUR","2025-09-29 20:39:04.185919","2025-10-29 20:39:29.82716"
127,"JPY","174.322044","EUR","2025-09-29 20:39:04.185919","2025-10-29 20:39:29.82716"
128,"EUR","1.000000","EUR","2025-09-29 20:39:04.185919","2025-10-29 20:39:29.82716"
129,"USD","1.173530","EUR","2025-09-30 20:39:04.185919","2025-10-29 20:39:29.82716"
130,"GBP","0.872972","EUR","2025-09-30 20:39:04.185919","2025-10-29 20:39:29.82716"
131,"JPY","173.683629","EUR","2025-09-30 20:39:04.185919","2025-10-29 20:39:29.82716"
132,"EUR","1.000000","EUR","2025-09-30 20:39:04.185919","2025-10-29 20:39:29.82716"
133,"USD","1.173351","EUR","2025-10-01 20:39:04.185919","2025-10-29 20:39:29.82716"
134,"GBP","0.870474","EUR","2025-10-01 20:39:04.185919","2025-10-29 20:39:29.82716"
135,"JPY","172.588755","EUR","2025-10-01 20:39:04.185919","2025-10-29 20:39:29.82716"
136,"EUR","1.000000","EUR","2025-10-01 20:39:04.185919","2025-10-29 20:39:29.82716"
137,"USD","1.172465","EUR","2025-10-02 20:39:04.185919","2025-10-29 20:39:29.82716"
138,"GBP","0.871973","EUR","2025-10-02 20:39:04.185919","2025-10-29 20:39:29.82716"
139,"JPY","172.536381","EUR","2025-10-02 20:39:04.185919","2025-10-29 20:39:29.82716"
140,"EUR","1.000000","EUR","2025-10-02 20:39:04.185919","2025-10-29 20:39:29.82716"
141,"USD","1.174117","EUR","2025-10-03 20:39:04.185919","2025-10-29 20:39:29.82716"
142,"GBP","0.871200","EUR","2025-10-03 20:39:04.185919","2025-10-29 20:39:29.82716"
143,"JPY","173.129423","EUR","2025-10-03 20:39:04.185919","2025-10-29 20:39:29.82716"
144,"EUR","1.000000","EUR","2025-10-03 20:39:04.185919","2025-10-29 20:39:29.82716"
145,"USD","1.174117","EUR","2025-10-04 20:39:04.185919","2025-10-29 20:39:29.82716"
146,"GBP","0.865262","EUR","2025-10-04 20:39:04.185919","2025-10-29 20:39:29.82716"
147,"JPY","173.117681","EUR","2025-10-04 20:39:04.185919","2025-10-29 20:39:29.82716"
148,"EUR","1.000000","EUR","2025-10-04 20:39:04.185919","2025-10-29 20:39:29.82716"
149,"USD","1.171173","EUR","2025-10-05 20:39:04.185919","2025-10-29 20:39:29.82716"
150,"GBP","0.871874","EUR","2025-10-05 20:39:04.185919","2025-10-29 20:39:29.82716"
151,"JPY","175.224425","EUR","2025-10-05 20:39:04.185919","2025-10-29 20:39:29.82716"
152,"EUR","1.000000","EUR","2025-10-05 20:39:04.185919","2025-10-29 20:39:29.82716"
153,"USD","1.170988","EUR","2025-10-06 20:39:04.185919","2025-10-29 20:39:29.82716"
154,"GBP","0.868416","EUR","2025-10-06 20:39:04.185919","2025-10-29 20:39:29.82716"
155,"JPY","176.045145","EUR","2025-10-06 20:39:04.185919","2025-10-29 20:39:29.82716"
156,"EUR","1.000000","EUR","2025-10-06 20:39:04.185919","2025-10-29 20:39:29.82716"
157,"USD","1.165386","EUR","2025-10-07 20:39:04.185919","2025-10-29 20:39:29.82716"
158,"GBP","0.868375","EUR","2025-10-07 20:39:04.185919","2025-10-29 20:39:29.82716"
159,"JPY","177.170111","EUR","2025-10-07 20:39:04.185919","2025-10-29 20:39:29.82716"
160,"EUR","1.000000","EUR","2025-10-07 20:39:04.185919","2025-10-29 20:39:29.82716"
161,"USD","1.163063","EUR","2025-10-08 20:39:04.185919","2025-10-29 20:39:29.82716"
162,"GBP","0.867907","EUR","2025-10-08 20:39:04.185919","2025-10-29 20:39:29.82716"
163,"JPY","177.584662","EUR","2025-10-08 20:39:04.185919","2025-10-29 20:39:29.82716"
164,"EUR","1.000000","EUR","2025-10-08 20:39:04.185919","2025-10-29 20:39:29.82716"
165,"USD","1.156618","EUR","2025-10-09 20:39:04.185919","2025-10-29 20:39:29.82716"
166,"GBP","0.869372","EUR","2025-10-09 20:39:04.185919","2025-10-29 20:39:29.82716"
167,"JPY","176.952686","EUR","2025-10-09 20:39:04.185919","2025-10-29 20:39:29.82716"
168,"EUR","1.000000","EUR","2025-10-09 20:39:04.185919","2025-10-29 20:39:29.82716"
169,"USD","1.161839","EUR","2025-10-10 20:39:04.185919","2025-10-29 20:39:29.82716"
170,"GBP","0.870129","EUR","2025-10-10 20:39:04.185919","2025-10-29 20:39:29.82716"
171,"JPY","175.675361","EUR","2025-10-10 20:39:04.185919","2025-10-29 20:39:29.82716"
172,"EUR","1.000000","EUR","2025-10-10 20:39:04.185919","2025-10-29 20:39:29.82716"
173,"USD","1.161839","EUR","2025-10-11 20:39:04.185919","2025-10-29 20:39:29.82716"
174,"GBP","0.870129","EUR","2025-10-11 20:39:04.185919","2025-10-29 20:39:29.82716"
175,"JPY","175.664365","EUR","2025-10-11 20:39:04.185919","2025-10-29 20:39:29.82716"
176,"EUR","1.000000","EUR","2025-10-11 20:39:04.185919","2025-10-29 20:39:29.82716"
177,"USD","1.160200","EUR","2025-10-12 20:39:04.185919","2025-10-29 20:39:29.82716"
178,"GBP","0.870011","EUR","2025-10-12 20:39:04.185919","2025-10-29 20:39:29.82716"
179,"JPY","176.398581","EUR","2025-10-12 20:39:04.185919","2025-10-29 20:39:29.82716"
180,"EUR","1.000000","EUR","2025-10-12 20:39:04.185919","2025-10-29 20:39:29.82716"
181,"USD","1.156630","EUR","2025-10-13 20:39:04.185919","2025-10-29 20:39:29.82716"
182,"GBP","0.867548","EUR","2025-10-13 20:39:04.185919","2025-10-29 20:39:29.82716"
183,"JPY","176.317910","EUR","2025-10-13 20:39:04.185919","2025-10-29 20:39:29.82716"
184,"EUR","1.000000","EUR","2025-10-13 20:39:04.185919","2025-10-29 20:39:29.82716"
185,"USD","1.160187","EUR","2025-10-14 20:39:04.185919","2025-10-29 20:39:29.82716"
186,"GBP","0.870964","EUR","2025-10-14 20:39:04.185919","2025-10-29 20:39:29.82716"
